CHAVE_INTERNA,PORTUGUES,INGLES,NORUEGUES
programs.biostretch.workshops.recuperando-o-foco.shortDescription,"E se recuperar o foco começasse por esvaziar a mente? Descubra como o relaxamento e a atenção ao corpo podem restaurar sua capacidade de concentração.","What if regaining focus started with emptying the mind? Discover how relaxation and attention to the body can restore your ability to concentrate.","Hva om det å gjenvinne fokus startet med å tømme sinnet? Oppdag hvordan avslapning og oppmerksomhet på kroppen kan gjenopprette evnen din til å konsentrere deg."
programs.biostretch.workshops.recuperando-o-foco.title,"Recuperando o Foco","Regaining Focus","Å Gjenvinne Fokus"
programs.biostretch.workshops.transformando-habitos.fullDescription,"Grande parte do que fazemos todos os dias acontece automaticamente. São hábitos e padrões de movimento que aprendemos ao longo da vida e que influenciam nossa postura, a maneira como nos movemos e até como nos sentimos.
Os hábitos são importantes. Com eles, é possível realizar tarefas sem precisar reaprender a fazê-las a cada vez. Mas alguns padrões que um dia foram úteis podem, com o tempo, tornar-se limitantes, criando tensões, desconfortos e esforços desnecessários.
No workshop Transformando Hábitos, vamos reconhecer esses padrões e experimentar novas possibilidades de movimento. Ao ampliar nossa percepção, surgem novos caminhos de movimento antes nunca usados.
Um hábito não precisa simplesmente ser eliminado. Podemos transformá-lo, oferecendo ao corpo novas opções e permitindo que ele descubra maneiras mais fáceis, prazerosas e eficientes de se mover.
Mais percepção. Mais possibilidades. Mais liberdade para escolher como se mover.","Much of what we do every day happens automatically. These are habits and movement patterns we've learned throughout life that influence our posture, how we move, and even how we feel.
Habits are important. With them, it is possible to perform tasks without having to relearn how to do them every time. But some patterns that were once useful can over time become limiting, creating tension, discomfort, and unnecessary effort.
In the Transforming Habits workshop, we will recognize these patterns and experience new movement possibilities. By expanding our perception, new paths of movement emerge that were previously unused.
A habit does not simply need to be eliminated. We can transform it, offering the body new options and allowing it to discover easier, more pleasurable, and more efficient ways to move.
More perception. More possibilities. More freedom to choose how to move.","Mye av det vi gjør hver dag skjer automatisk. Dette er vaner og bevegelsesmønstre vi har lært gjennom livet som påvirker holdningen vår, hvordan vi beveger oss, og til og med hvordan vi føler oss.
Vaner er viktige. Med dem er det mulig å utføre oppgaver uten å måtte lære å gjøre dem på nytt hver gang. Men noen mønstre som en gang var nyttige kan over tid bli begrensende, og skape spenning, ubehag og unødvendig anstrengelse.
I workshopen Å Transformere Vaner vil vi anerkjenne disse mønstrene og oppleve nye bevegelsesmuligheter. Ved å utvide vår oppfatning oppstår nye bevegelsesveier som tidligere ikke har vært brukt.
En vane trenger ikke bare å bli eliminert. Vi kan transformere den, og tilby kroppen nye alternativer og la den oppdage lettere, mer behagelige og mer effektive måter å bevege seg på.
Mer oppfatning. Flere muligheter. Mer frihet til å velge hvordan man skal bevege seg."
programs.biostretch.workshops.transformando-habitos.shortDescription,"Você escolhe como se move ou seus hábitos escolhem por você? Reconheça seus padrões de movimento e descubra novas possibilidades para se mover com mais liberdade, conforto e facilidade.","Do you choose how you move, or do your habits choose for you? Recognize your movement patterns and discover new possibilities to move with more freedom, comfort, and ease.","Velger du hvordan du beveger deg, eller velger vanene dine for deg? Gjenkjenn bevegelsesmønstrene dine og oppdag nye muligheter for å bevege deg med mer frihet, komfort og letthet."
programs.biostretch.workshops.transformando-habitos.title,"Transformando Hábitos","Transforming Habits","Å Transformere Vaner"
programs.biostretch.workshops.uma-melhor-postura.fullDescription,"Sua postura conta uma história. Ela reflete a maneira como você organiza o corpo, os hábitos que desenvolveu ao longo da vida e a forma como se relaciona com o ambiente ao seu redor.
Mais do que uma posição que devemos manter, a postura é uma organização dinâmica do corpo para se mover, se equilibrar e encontrar o mundo. Ela está presente em tudo o que fazemos e influencia nossa sensação de conforto, liberdade de movimento, apoio e bem-estar.
Nosso esqueleto e nossa musculatura possuem uma incrível capacidade de nos sustentar contra a gravidade e, ao mesmo tempo, permitir movimento e adaptação. Porém, ao longo do tempo, podemos desenvolver hábitos que aumentam o esforço necessário para nos manter de pé e nos mover, criando tensão, desconforto e limitações desnecessárias.
A postura não é, portanto, algo estático nem uma “posição correta” que precisamos controlar o tempo todo. As diferentes partes do corpo estão constantemente se relacionando e ajustando entre si. Existe uma conversa contínua entre músculos, ossos, respiração, equilíbrio e movimento.
É essa inteligência inata do corpo que nos permite encontrar equilíbrio e suporte.
No workshop Uma Melhor Postura, você terá a oportunidade de reconhecer padrões posturais habituais e explorar novas possibilidades de organização do corpo. Através da percepção e do movimento, podemos reduzir esforços desnecessários e descobrir maneiras mais eficazes, confortáveis e naturais de nos sustentar.
Uma postura saudável não é rígida. Ela é estável e, ao mesmo tempo, flexível. É a sensação de estar apoiado, de encontrar a verticalidade sem esforço excessivo e de poder se mover com mais facilidade, liberdade e presença.","Your posture tells a story. It reflects the way you organize your body, the habits you've developed over a lifetime, and how you relate to the environment around you.
More than a position we must hold, posture is a dynamic organization of the body to move, balance, and meet the world. It is present in everything we do and influences our sense of comfort, freedom of movement, support, and well-being.
Our skeleton and musculature have an incredible capacity to support us against gravity while allowing for movement and adaptation. However, over time, we can develop habits that increase the effort needed to stay upright, generating unnecessary tensions and pain.
In the A Better Posture workshop, we will explore simple and gentle movements that help recognize these habits and release accumulated tensions.
As the body discovers new ways to organize itself, it finds more efficient and comfortable support. A better posture emerges naturally, without effort or rigidity, allowing you to move with more freedom and ease.
Less effort to stay upright. More comfort and freedom to move.","Holdningen din forteller en historie. Den reflekterer måten du organiserer kroppen din på, vanene du har utviklet gjennom livet, og hvordan du forholder deg til miljøet rundt deg.
Mer enn bare en posisjon vi må opprettholde, er holdning en dynamisk organisering av kroppen for å bevege seg, balansere og møte verden. Den er til stede i alt vi gjør og påvirker vår følelse av komfort, bevegelsesfrihet, støtte og velvære.
Skjelettet og muskulaturen vår har en utrolig kapasitet til å støtte oss mot tyngdekraften, samtidig som det tillater bevegelse og tilpasning. Imidlertid kan vi over tid utvikle vaner som øker anstrengelsen som trengs for å holde oss oppreist, noe som skaper unødvendige spenninger og smerter.
I workshopen En Bedre Holdning vil vi utforske enkle og milde bevegelser som hjelper til med å gjenkjenne disse vanene og frigjøre oppsamlede spenninger.
Når kroppen oppdager nye måter å organisere seg på, finner den en mer effektiv og komfortabel støtte. En bedre holdning vokser frem naturlig, uten anstrengelse eller stivhet, noe som lar deg bevege deg med mer frihet og letthet.
Mindre innsats for å holde seg oppreist. Mer komfort og frihet til å bevege seg."
programs.biostretch.workshops.uma-melhor-postura.shortDescription,"E se você pudesse melhorar sua postura sem tentar “corrigir” seu corpo? Experimente uma nova relação com seu corpo, com mais apoio, liberdade e facilidade para se mover.","What if you could improve your posture without trying to ""fix"" your body? Experience a new relationship with your body, with more support, freedom, and ease to move.","Hva om du kunne forbedre holdningen din uten å prøve å ""fikse"" kroppen din? Opplev et nytt forhold til kroppen din, med mer støtte, frihet og letthet i bevegelse."
programs.biostretch.workshops.uma-melhor-postura.title,"Uma Melhor Postura","A Better Posture","En Bedre Holdning"
programs.kroppsskole.description,"Uma abordagem integrada para o corpo e o movimento.","Uma abordagem integrada para o corpo e o movimento.","Uma abordagem integrada para o corpo e o movimento."
programs.kroppsskole.philosophy,"[]","[]","[]"
programs.kroppsskole.philosophy_data.b1_p1,"Antes de pensarmos, o corpo já sente. Antes de falarmos, ele já comunica. Antes de entendermos, ele já sabe.","Before we think, the body already feels. Before we speak, it already communicates. Before we understand, it already knows.","Før vi tenker, føler kroppen allerede. Før vi snakker, kommuniserer den allerede. Før vi forstår, vet den allerede."
programs.kroppsskole.philosophy_data.b1_p2,"Kroppsskole nasce dessa percepção. Uma escola para aprender com o corpo, sobre o corpo, através do corpo. Aqui, exploramos uma inteligência que mora no gesto, na postura, na respiração. Ela sente, percebe, ajusta e lembra.","Kroppsskole is born from this perception. A school to learn with the body, about the body, through the body. Here, we explore an intelligence that lives in gesture, posture, and breath. It feels, perceives, adjusts, and remembers.","Kroppsskole er født ut av denne oppfatningen. En skole for å lære med kroppen, om kroppen, gjennom kroppen. Her utforsker vi en intelligens som bor i bevegelse, holdning og pust. Den føler, oppfatter, justerer og husker."
programs.kroppsskole.philosophy_data.b2_p1,"Convidamos diferentes facilitadores, práticas e saberes para criar experiências que nos reconectem com essa inteligência. Aulas, cursos, vivências e encontros que exploram o movimento, o toque, a respiração, a expressão e a presença.","We invite different facilitators, practices, and knowledge to create experiences that reconnect us with this intelligence. Classes, courses, immersions, and gatherings that explore movement, touch, breath, expression, and presence.","Vi inviterer forskjellige tilretteleggere, praksiser og kunnskap for å skape opplevelser som kobler oss tilbake til denne intelligensen. Klasser, kurs, innlevelser og samlinger som utforsker bevegelse, berøring, pust, uttrykk og tilstedeværelse."
programs.kroppsskole.philosophy_data.b2_p2,"Acolhemos corpos, histórias e formas de expressão diversas. Quanto mais diverso o olhar sobre o corpo, mais possibilidades temos de compreendê-lo.","We welcome diverse bodies, histories, and forms of expression. The more diverse the perspective on the body, the more possibilities we have to understand it.","Vi ønsker mangfoldige kropper, historier og uttrykksformer velkommen. Jo mer mangfoldig perspektivet på kroppen er, desto flere muligheter har vi til å forstå den."
programs.kroppsskole.philosophy_data.b3_p1,"A saúde emocional e o bem-estar profundo amadurecem quando cuidamos da base. Quando respiramos melhor, caminhamos diferente e sentimos com mais clareza, algo muda na forma como estamos no mundo. A mudança começa no corpo e se irradia para tudo o que somos.","Emotional health and deep well-being mature when we care for the foundation. When we breathe better, walk differently, and feel with more clarity, something shifts in how we are in the world. The change starts in the body and radiates to all that we are.","Emosjonell helse og dyp velvære modnes når vi tar vare på grunnlaget. Når vi puster bedre, går annerledes og føler med mer klarhet, endres noe i hvordan vi er i verden. Forandringen starter i kroppen og stråler ut til alt vi er."
programs.kroppsskole.philosophy_data.b3_p2,"Kroppsskole é o espaço para esse processo. Um lugar onde conhecimento e experiência se encontram. Onde podemos experimentar sem precisar acertar. Onde uma pequena mudança no corpo pode transformar a forma como vivemos.","Kroppsskole is a space for this process. A place where knowledge and experience meet. Where we can experiment without needing to be right. Where a small change in the body can transform how we live.","Kroppsskole er et rom for denne prosessen. Et sted der kunnskap og erfaring møtes. Hvor vi kan eksperimentere uten å måtte ha rett. Hvor en liten endring i kroppen kan forandre hvordan vi lever."
programs.kroppsskole.philosophy_data.closing,"""Através do corpo, nos preparamos para ir além.""","""Through the body, we prepare to go beyond.""","""Gjennom kroppen forbereder vi oss på å gå videre."""
programs.kroppsskole.philosophy_data.hook,"""Para voar, precisamos ter raízes.""","""To fly, we must have roots.""","""For å fly, må vi ha røtter."""
programs.kroppsskole.philosophy_data.quote1,"""Existe um saber que o corpo carrega e que a mente ainda não traduziu.""","""There is a knowledge that the body carries and the mind has not yet translated.""","""Det er en kunnskap som kroppen bærer, og som sinnet ennå ikke har oversatt."""
programs.kroppsskole.philosophy_data.quote2,"""O corpo é o alicerce. Dele nascem o equilíbrio, a presença e a transformação.""","""The body is the foundation. From it, balance, presence, and transformation arise.""","""Kroppen er grunnlaget. Fra den oppstår balanse, tilstedeværelse og transformasjon."""
programs.kroppsskole.philosophy_data.subtitle,"Através do corpo e além","Through the body and beyond","Gjennom kroppen og videre"
programs.kroppsskole.subtitle,"","",""
programs.kroppsskole.title,"Kroppsskole","Kroppsskole","Kroppsskole"
proto.1.desc,"O corpo guarda o que a palavra não alcança expressar. Nos workshops, o movimento torna-se linguagem e cria um espaço onde ritmo, presença e improvisação libertam o que esteve contido.","The body holds what words cannot express. In the workshops, movement becomes a language and creates a space where rhythm, presence and improvisation set free what has been held back.","Kroppen bevarer det som ordene ikke klarer å uttrykke. I workshopene blir bevegelsen til et språk og skaper et rom der rytme, nærvær og improvisasjon frigjør det som har vært holdt tilbake."
proto.1.kicker,"O ponto de partida","The starting point","Startpunktet"
proto.1.title,"Expressão","Expression","Uttrykk"
proto.2.desc,"Escutar o corpo é um ato político. As práticas de movimento consciente ampliam a percepção, reorganizam padrões físicos e devolvem às pessoas a autoria sobre si mesmas.","Listening to the body is a political act. Conscious movement practices expand perception, reorganize physical patterns and return to people the authorship over themselves.","Å lytte til kroppen er en politisk handling. Bevisste bevegelsespraksiser utvider oppfatningen, omorganiserer fysiske mønstre og gir folk forfatterskapet over seg selv tilbake."
proto.2.kicker,"O que o movimento cura","What movement heals","Hva bevegelse helbreder"
proto.2.title,"Bem-estar","Well-being","Velvære"
proto.3.desc,"O movimento é matéria-prima. Da dança nasce a coreografia, do silêncio nasce o gesto, do encontro nasce a obra. A arte é o que acontece quando o corpo tem liberdade para se expressar.","Movement is raw material. From dance choreography is born, from silence the gesture is born, from the encounter the work is born. Art is what happens when the body has the freedom to express itself.","Bevegelse er råmateriale. Fra dans blir koreografi født, fra stillhet blir gesten født, fra møtet blir verket født. Kunst er det som skjer når kroppen har frihet til å uttrykke seg."
proto.3.kicker,"O que o corpo inventa","What the body invents","Hva kroppen finner opp"
proto.3.title,"Criação","Creation","Skapelse"
proto.4.desc,"Quando pessoas se movem juntas, algo muda. A dança atravessa muros, cria vínculos e abre espaço para uma transformação que começa no corpo e reverbera na rua, no bairro, na cidade.","When people move together, something changes. Dance crosses walls, creates bonds and opens space for a transformation that begins in the body and reverberates on the street, in the neighborhood, in the city.","Når folk beveger seg sammen, endres noe. Dans krysser vegger, skaper bånd og åpner rom for en transformasjon som begynner i kroppen og gir gjenlyd på gaten, i nabolaget i byen."
proto.4.kicker,"O que fica na comunidade","What remains in the community","Hva som forblir i samfunnet"
proto.4.title,"Transformação","Transformation","Transformasjon"
regular_classes.block1.p1,"Um único encontro pode trazer um insight, uma sensação nova, um espaço inesperado de alívio ou uma percepção sobre o corpo que antes não estava ali. Às vezes, basta uma experiência para alguma coisa começar a mudar.","A single encounter can bring an insight, a new sensation, an unexpected space of relief, or a perception of the body that was not there before. Sometimes, a single experience is enough for something to begin to shift.","Et enkelt møte kan gi en innsikt, en ny fornemmelse, et uventet pusterom eller en opplevelse av kroppen som ikke var der før. Noen ganger er én erfaring nok til at noe begynner å endre seg."
regular_classes.block1.p2,"Mas uma transformação profunda raramente acontece de uma só vez. O corpo precisa de tempo para assimilar, experimentar, reorganizar e integrar aquilo que vivenciamos.","But deep transformation rarely happens all at once. The body needs time to assimilate, experiment, reorganize, and integrate what we experience.","Men en dyp forandring skjer sjelden på én gang. Kroppen trenger tid til å fordøye, utforske, omorganisere og integrere det vi opplever."
regular_classes.block2.kicker,"CONSCIÊNCIA EM MOVIMENTO","AWARENESS IN MOTION","BEVISSTHET I BEVEGELSE"
regular_classes.block2.p1,"É por isso que o Biostretch não é pensado como uma aula isolada, mas como um processo contínuo de investigação.","This is why Biostretch is not conceived as an isolated class, but as an ongoing process of investigation.","Det er derfor Biostretch ikke er tenkt som en enkeltstående time, men som en kontinuerlig utforskningsprosess."
regular_classes.block2.p2,"A cada encontro, voltamos ao corpo com um pouco mais de consciência. Revisitamos movimentos, sensações e padrões. Descobrimos novas possibilidades e começamos, pouco a pouco, a reconhecer aquilo que antes passava despercebido.","With each session, we return to the body with a little more awareness. We revisit movements, sensations, and patterns. We discover new possibilities and begin, step by step, to recognize what previously went unnoticed.","Ved hvert møte vender vi tilbake til kroppen med litt mer oppmerksomhet. Vi gjenoppdager bevegelser, fornemmelser og mønstre. Vi oppdager nye muligheter og begynner, litt etter litt, å gjenkjenne det som tidligere gikk ubemerket hen."
regular_classes.block2.p3,"Não se trata de fazer mais, nem de forçar uma mudança. Trata-se de criar espaço para que ela aconteça.","It is not about doing more, nor forcing a change. It is about creating space for it to happen.","Det handler ikke om å gjøre mer, eller å tvinge frem en endring. Det handler om å skape rom for at den kan skje."
regular_classes.block2.p4,"Com o tempo, o que numa primeira aula parecia apenas uma sensação sutil começa a tornar-se familiar. O que era difícil de perceber torna-se mais claro. O movimento ganha novas possibilidades, a respiração encontra mais espaço e o corpo passa a responder de outra maneira.","Over time, what seemed like merely a subtle sensation in a first class begins to become familiar. What was difficult to perceive becomes clearer. Movement gains new possibilities, breathing finds more room, and the body begins to respond in a different way.","Med tiden begynner det som i en første time bare virket som en flyktig følelse å bli fortrolig. Det som var vanskelig å legge merke til, blir klarere. Bevegelsen får nye nyanser, pusten finner mer plass, og kroppen begynner å respondere annerledes."
regular_classes.block3.kicker,"A CONVERSA DO CORPO","THE BODY'S DIALOGUE","KROPPENS SAMTALE"
regular_classes.block3.p1,"Cada encontro é parte de uma conversa que o corpo vai construindo consigo mesmo.","Each session is part of a conversation that the body builds with itself.","Hvert møte er en del av en samtale kroppen bygger med seg selv."
regular_classes.block3.p2,"E talvez seja aí que resida a verdadeira potência do Biostretch: não numa grande transformação de um dia para o outro, mas nas pequenas mudanças que, repetidas e integradas ao longo do tempo, transformam a forma como habitamos o nosso próprio corpo.","And perhaps that is where the true power of Biostretch lies: not in an overnight transformation, but in the small shifts that, repeated and integrated over time, transform how we inhabit our own body.","Og kanskje er det nettopp der Biostretch har sin virkelige styrke: ikke i en brå forandring over natten, men i de små justeringene som, gjentatt og integrert over tid, forandrer måten vi bebor vår egen kropp på."
regular_classes.closing,"Porque o corpo não precisa apenas de estímulo.
Precisa de tempo para aprender.","Because the body does not only need stimulation.
It needs time to learn.","Fordi kroppen ikke bare trenger stimulering.
Den trenger tid til å lære."
regular_classes.cta.button,"Ver agenda & horários","View schedule & times","Se timeplan og tider"
regular_classes.cta.text,"Consulte os horários das turmas e reserve seu lugar na prática regular presencial.","Check class schedules and reserve your spot for regular in-person practice.","Se timeplanen og sikre deg plass på den faste fysiske praksisen."
regular_classes.cta.title,"Venha praticar com continuidade","Practice with continuity","Bli med på faste timer"
regular_classes.duration,"90 min","90 min","90 min"
regular_classes.format,"Presencial","In-person","Fysisk oppmøte"
regular_classes.hook,"Uma única aula de Biostretch pode abrir muitas portas.","A single Biostretch class can open many doors.","En enkelt Biostretch-time kan åpne mange dører."
regular_classes.kicker,"PRÁTICA CONTÍNUA","CONTINUOUS PRACTICE","KONTINUERLIG PRAKSIS"
regular_classes.pullQuote1,"É na regularidade que o corpo começa a aprender.","It is in regularity that the body begins to learn.","Det er i regelmessigheten at kroppen begynner å lære."
regular_classes.pullQuote2,"Uma aula pode despertar. A continuidade permite aprofundar.","A single class can awaken. Continuity allows deepening.","En time kan vekke. Kontinuiteten lar oss gå i dybden."
regular_classes.subtitle,"O valor do trabalho continuado.","The value of ongoing work.","Verdien av et kontinuerlig arbeid."
regular_classes.title,"Aulas Regulares","Regular Classes","Faste Timer"
social_page.context.kicker,"A proposta","The proposition","Forslaget"
social_page.context.p1,"Gamle Oslo é um bairro de contrastes — diversidade, história e riqueza cultural convivem com desigualdades de acesso a serviços e atividades de qualidade. É exatamente esse contexto que nos chama a agir.","Gamle Oslo is a neighbourhood of contrasts — diversity, history and cultural richness coexist with inequalities in access to quality services and activities. This is exactly the context that calls us to act.","Gamle Oslo er et nabolag fylt av kontraster — mangfold, historie og kulturell rikdom eksisterer side om side med ulikhet i tilgang til kvalitetstjenester og aktiviteter. Det er nettopp denne sammenhengen som kaller oss til handling."
social_page.context.p2,"O Dance2Dance nasce nesse território com uma missão clara: que a dança, a expressão corporal e o bem-estar não sejam privilégio de quem pode pagar. Cada workshop que desenvolvemos tem a mesma qualidade, o mesmo cuidado e a mesma intenção — independentemente de quem está na sala.","Dance2Dance is born in this territory with a clear mission: that dance, movement and well-being should not be a privilege for those who can pay. Every workshop we develop carries the same quality, the same care and the same intention — regardless of who is in the room.","Dance2Dance fødes i dette territoriet med et tydelig oppdrag: at dans, kroppsuttrykk og velvtære ikke skal være et privilegium for dem som kan betale. Hvert workshop vi utvikler har samme kvalitet, samme omsorg og samme intensjon — uavhengig av hvem som er i rommet."
social_page.context.quote,"O mesmo produto. A mesma qualidade. O mesmo valor. Para todos.","The same product. The same quality. The same value. For everyone.","Samme produkt. Samme kvalitet. Samme verdi. For alle."
social_page.context.title,"Por que Gamle Oslo?","Why Gamle Oslo?","Hvorfor Gamle Oslo?"
social_page.cta.btn1,"Quero ser parceiro","I want to be a partner","Jeg vil bli partner"
social_page.cta.btn2,"Falar com a equipe","Talk to the team","Snakk med teamet"
social_page.cta.desc,"Fundos, empresas e parceiros que chegam agora são parte da fundação — e da história — deste projeto. Entre em contato e descubra como fazer parte.","Funds, companies and partners who arrive now are part of the foundation — and the story — of this project. Get in touch and discover how to be part of it.","Fond, bedrifter og partnere som kommer nå er en del av grunnlaget — og historien — til dette prosjektet. Ta kontakt og finn ut hvordan du kan være en del av det."
social_page.cta.kicker,"Junte-se a nós","Join us","Bli med oss"
social_page.cta.title,"Apoie o que ainda está nascendo.","Support what is still being born.","Støtt det som ennå er i ferd med å bli til."
social_page.hero.kicker,"Projeto Social","Social Project","Sosialt Prosjekt"
social_page.hero.scroll,"Role para explorar","Scroll to explore","Rull ned for å utforske"
social_page.hero.subtitle,"Um modelo de acesso universal à cultura e ao movimento. Workshops de alto nível, gratuitos para moradores de Gamle Oslo — sustentados por múltiplas fontes de financiamento.","A model for universal access to culture and movement. Premium workshops, free for residents of Gamle Oslo — sustained by multiple funding sources.","En modell for universell tilgang til kultur og bevegelse. Premium workshops, gratis for beboere i Gamle Oslo — bæret av flere finansieringskilder."
social_page.hero.title_line1,"Arte que","Art that","Kunst som"
social_page.hero.title_line2,"pertence a todos.","belongs to everyone.","tilhører alle."
social_page.model.highlight,"Várias fontes. Uma missão.","Multiple sources. One mission.","Flere kilder. én misjon."
social_page.model.intro,"O Dance2Dance foi desenhado para não depender de uma única fonte. Nossa sustentabilidade nasce da combinação estratégica de múltiplos pilares — cada um essencial, nenhum suficiente sozinho.","Dance2Dance was designed not to rely on a single source. Our sustainability comes from the strategic combination of multiple pillars — each essential, none sufficient alone.","Dance2Dance er designet for å ikke støle på en enkelt kilde. Vår bærekraft kommer fra den strategiske kombinasjonen av flere pilarer — hver enkelt essensiell, ingen tilstrekkelig alene."
social_page.model.kicker,"Como nos sustentamos","How we sustain ourselves","Hvordan vi finansierer oss"
social_page.model.pillar1.desc,"Quem vem de fora de Gamle Oslo paga o valor real do workshop. Essa receita contribui diretamente para viabilizar o acesso gratuito aos moradores locais.","Those who come from outside Gamle Oslo pay the real value of the workshop. This revenue directly contributes to enabling free access for local residents.","De som kommer fra utenfor Gamle Oslo betaler den reelle verdien av workshopen. Denne inntekten bidrar direkte til å muliggjøre gratis tilgang for lokale beboere."
social_page.model.pillar1.title,"Participantes pagantes","Paying participants","Betalende deltakere"
social_page.model.pillar2.desc,"Empresas privadas que desejam associar sua marca a impacto social real e cultura de qualidade encontram no Dance2Dance um parceiro com proposito e visibilidade.","Private companies wishing to associate their brand with real social impact and quality culture find in Dance2Dance a purposeful and visible partner.","Private bedrifter som ønsker å assosiere merkevaren sin med ekte sosial påvirkning og kvalitetskultur finner i Dance2Dance en partner med formål og synlighet."
social_page.model.pillar2.title,"Empresas e patrocinadores","Companies & sponsors","Bedrifter og sponsorer"
social_page.model.pillar3.desc,"O projeto alinha-se com políticas públicas de inclusão cultural e comunitária, tornando-o elegivel para apoio de fundos culturais e da municipalidade de Oslo.","The project aligns with public policies on cultural and community inclusion, making it eligible for support from cultural funds and the City of Oslo.","Prosjektet er i tråd med offentlig politikk for kulturell og lokalsamfunnsmessig inkludering, noe som gjør det støtteberettiget fra kulturmidler og Oslo kommune."
social_page.model.pillar3.title,"Fundos públicos e municipalidade","Public funds & municipality","Offentlige midler og kommunen"
social_page.model.pillar4.desc,"Pessoas que acreditam no poder da arte como transformação social podem apoiar de forma direta, fazendo parte da história desde o início.","People who believe in the power of art as social transformation can support directly, becoming part of the story from the very beginning.","Mennesker som tror på kunstens kraft som sosial transformasjon kan støtte direkte, og bli en del av historien helt fra begynnelsen."
social_page.model.pillar4.title,"Financiadores individuais","Individual donors","Individuelle givere"
social_page.model.summary,"A diversificação das fontes de receita é intencional: ela garante que o projeto não dependa de nenhuma entidade única, tornando-o mais resistente e escalavel ao longo do tempo.","The diversification of revenue sources is intentional: it ensures the project does not depend on any single entity, making it more resilient and scalable over time.","Diversifiseringen av inntektskilder er tilsiktet: den sikrer at prosjektet ikke er avhengig av noen enkelt enhet, og gjør det mer motstandsdyktig og skalerbart over tid."
social_page.model.title,"Um ecossistema de apoio.","An ecosystem of support.","Et økosystem av støtte."
social_page.partners.desc,"O Dance2Dance não age sozinho. Trabalhamos em rede com organizações que compartilham da convicção de que a arte transforma e que o acesso à cultura é um direito.","Dance2Dance does not act alone. We work in network with organisations that share the conviction that art transforms and that access to culture is a right.","Dance2Dance handler ikke alene. Vi jobber i nettverk med organisasjoner som deler overbevisningen om at kunst forvandler og at tilgang til kultur er en rettighet."
social_page.partners.kicker,"Quem está conosco","Who is with us","Hvem er med oss"
social_page.partners.title,"Parceiros que constroem junto.","Partners who build together.","Partnere som bygger sammen."
social_page.value.free.desc,"Residentes da região têm acesso garantido e gratuito a todos os workshops. Sem listas de espera, sem distinção, sem menor qualidade.","Local residents have guaranteed, free access to all workshops. No waiting lists, no distinction, no lesser quality.","Lokale beboere har garantert, gratis tilgang til alle workshops. Ingen ventelister, ingen skiller, ingen lavere kvalitet."
social_page.value.free.label,"Moradores de Gamle Oslo","Gamle Oslo residents","Beboere i Gamle Oslo"
social_page.value.free.price,"Gratuito","Free","Gratis"
social_page.value.insight,"“O acesso gratuito com transparência de preço cria dignidade. A pessoa não recebe caridade — recebe a oportunidade de participar de algo que tem valor real.”","“Free access with price transparency creates dignity. The person is not receiving charity — they are receiving the opportunity to be part of something with real value.”","“Gratis tilgang med pristransparens skaper verdighet. Personen mottar ikke veldedighet — de mottar muligheten til å være en del av noe med ekte verdi.”"
social_page.value.kicker,"O valor do que oferecemos","The value of what we offer","Verdien av det vi tilbyr"
social_page.value.paid.desc,"Moradores de fora de Gamle Oslo participam mediante pagamento regular, com acesso à mesma experiência de qualidade premium.","Residents from outside Gamle Oslo participate at the regular rate, with access to the same premium quality experience.","Beboere utenfor Gamle Oslo deltar til vanlig pris, med tilgang til den samme premium-opplevelsen."
social_page.value.paid.label,"Participantes externos","External participants","Eksterne deltakere"
social_page.value.paid.price,"[XXX] NOK","[XXX] NOK","[XXX] NOK"
social_page.value.subtitle,"Quem recebe gratuitamente recebe exatamente o mesmo que quem paga. Tornamos o preço real visível porque valor percebido importa — tanto para quem apia quanto para quem participa.","Those who receive it for free receive exactly the same as those who pay. We make the real price visible because perceived value matters — for supporters and participants alike.","De som mottar det gratis, mottar nøyaktig det samme som de som betaler. Vi gjør den reelle prisen synlig fordi opplevd verdi betyr noe — for støttespillere og deltakere alike."
social_page.value.title,"Gratuito não significa sem valor.","Free does not mean without value.","Gratis betyr ikke uten verdi."
social_page_b2b.context.kicker,"Nosso Propósito","Our Purpose","Vårt formål"
social_page_b2b.context.p1,"Tøyen e Grønland respiram diversidade, mas também enfrentam barreiras visíveis de acesso à cultura. Onde muitos veem um desafio, nós vemos o terreno perfeito para plantar um novo modelo de integração social.","Tøyen and Grønland breathe diversity, but also face visible barriers to accessing culture. Where many see a challenge, we see the perfect ground to plant a new model of social integration.","Tøyen og Grønland puster mangfold, men møter også synlige barrierer for tilgang til kultur. Der mange ser en utfordring, ser vi det perfekte grunnlaget for å plante en ny modell for sosial integrering."
